reference	taxid	MT_num	MT_assembly	MT_accession	MT_length	MT_source	fasta
GCA_023628975.1	49331	1	GCA_023628975.1.mito.3111512754.fa	BK074535.1	51668	external	GCA_023628975.1__external__BK074535.1.fa
GCA_004931855.1	52247	1	GCA_004931855.1.mito.3111511661.fa	BK073862.1	40077	external	GCA_004931855.1__external__BK073862.1.fa
GCA_001278385.1	77020	1	GCA_001278385.1.mito.KY911092.1.fa	KY911092.1	35527	provided	GCA_001278385.1__provided__KY911092.1.fa
GCA_030570855.1	223819						GCA_030570855.1__nd__nd.fa
GCA_000182965.3	237561	1	GCA_000182965.3.mito.NC_002653.1.fa	NC_002653.1	40420	provided	GCA_000182965.3__provided__NC_002653.1.fa
GCA_030569875.1	273131	3	GCA_030569875.1.mito.1314948788.fa	NC_036380.1	46138	external	GCA_030569875.1__external__NC_036380.1.fa
GCA_000006445.2	284592						GCA_000006445.2__nd__nd.fa
GCA_000149425.1	294746						GCA_000149425.1__nd__nd.fa
GCA_000006335.3	294747	1	GCA_000006335.3_ASM633v3_genomic.fna	GG692418.1	50304	included	GCA_000006335.3__included__GG692418.1.fa
GCA_017309295.1	418086	1	GCA_017309295.1_JHU_Cniv_v1_genomic.fna	CM029591.1	28512	included	GCA_017309295.1__included__CM029591.1.fa
GCA_003013735.1	418784	1	GCA_003013735.1.mito.NW_021706825.1.fa	NW_021706825.1	22443	provided	GCA_003013735.1__provided__NW_021706825.1.fa
GCA_002759435.3	498019	1	GCA_002759435.3.mito.CP132762.1.fa	CP132762.1	28179	provided	GCA_002759435.3__provided__CP132762.1.fa
GCA_003013715.2	498019	1	GCA_003013715.2.mito.CP145594.1.fa	CP145594.1	27048	provided	GCA_003013715.2__provided__CP145594.1.fa
GCA_003014415.1	498019	30	GCA_003014415.1.mito.3071731847.fa	CP145539.1	33941	external	GCA_003014415.1__external__CP145539.1.fa
GCA_016772135.1	498019	1	GCA_016772135.1.mito.CP132762.1.fa	CP132762.1	28179	provided	GCA_016772135.1__provided__CP132762.1.fa
GCA_016809505.1	498019	30	GCA_016809505.1.mito.3071731847.fa	CP145539.1	33941	external	GCA_016809505.1__external__CP145539.1.fa
GCA_031357565.2	498019	1	GCA_031357565.2_ASM3135756v2_genomic.fna	CP126634.1	28214	included	GCA_031357565.2__included__CP126634.1.fa
GCA_032715285.1	498019	1	GCA_032715285.1_ASM3271528v1_genomic.fna	CP132585.1	27100	included	GCA_032715285.1__included__CP132585.1.fa
GCA_053008025.1	498019	1	GCA_053008025.1_ASM5300802v1_genomic.fna	CP132754.1	28125	included	GCA_053008025.1__included__CP132754.1.fa
GCA_053008035.1	498019	1	GCA_053008035.1_ASM5300803v1_genomic.fna	CP132762.1	28179	included	GCA_053008035.1__included__CP132762.1.fa
GCA_054883665.1	498019	1	GCA_054883665.1_ASM5488366v1_genomic.fna	CP145594.1	27048	included	GCA_054883665.1__included__CP145594.1.fa
GCA_000146045.2	559292	2	GCA_000146045.2.mito.733712010.fa	KP263414.1	85779	external	GCA_000146045.2__external__KP263414.1.fa
GCA_000026945.1	573826						GCA_000026945.1__nd__nd.fa
GCA_001661255.1	683960	6	GCA_001661255.1.mito.2618218575.fa	OR704057.1	25004	external	GCA_001661255.1__external__OR704057.1.fa
GCA_001661405.1	983966	3	GCA_001661405.1.mito.528750225.fa	KC993189.1	41644	external	GCA_001661405.1__external__KC993189.1.fa
GCA_001417885.1	1003335	1	GCA_001417885.1_Kmar_1.0_genomic.fna	AP012221.1	46308	included	GCA_001417885.1__included__AP012221.1.fa
GCA_030580175.1	1035112	1	GCA_030580175.1.mito.3111510432.fa	BK072917.1	61472	external	GCA_030580175.1__external__BK072917.1.fa
GCA_000755205.1	1091232						GCA_000755205.1__nd__nd.fa
GCA_000315875.1	1136231						GCA_000315875.1__nd__nd.fa
GCA_000293215.1	1186058	1	GCA_000293215.1_Trichosporon_asahii_1_genomic.fna	CM001777.1	32568	included	GCA_000293215.1__included__CM001777.1.fa
GCA_002926085.1	1231522	1	GCA_002926085.1_CanDuoHae_v1.0_genomic.fna	PKFP01000007.1	22443	included	GCA_002926085.1__included__PKFP01000007.1.fa
GCA_900497725.1	1294685	1	GCA_900497725.1.mito.NC_024095.1.fa	NC_024095.1	43486	provided	GCA_900497725.1__provided__NC_024095.1.fa
GCA_030578555.1	1714406	1	GCA_030578555.1.mito.3111510431.fa	BK072916.1	58234	external	GCA_030578555.1__external__BK072916.1.fa
GCA_044344055.1	2093215	1	GCA_044344055.1_ASM4434405v1_genomic.fna	CP116365.1	22750	included	GCA_044344055.1__included__CP116365.1.fa
GCA_051013725.1	2496157	1	GCA_051013725.1_UNIVR_Mcla_1.0_genomic.fna	CM117178.1	49363	included	GCA_051013725.1__included__CM117178.1.fa
GCA_023065905.1	2739387	1	GCA_023065905.1.mito.3111512547.fa	BK074446.1	24275	external	GCA_023065905.1__external__BK074446.1.fa
